대분류,중분류,소분류_후보,원본파일,원본행
,,미용 - 화장/ 옷/ 색채/,휴텍씨DB/문제은행.csv,51
,,"취업 - 삼성, 현대, 구글취업관련. 해외 취업 , 인턴",휴텍씨DB/문제은행.csv,53
,,입시전문가 - 대학 / 학원/ 자기소개서,휴텍씨DB/문제은행.csv,54
